date,location_id,crop_name,price,quantity,temperature,humidity,rainfall,wind_speed,sunshine_hours,season,demand_factor
2020-01-01,LOC004,cotton,92.48,647,19.02,55.17,10.78,12.37,7.01,0.08333333333333333,1.209419495780435
2020-01-01,LOC003,corn,29.43,572,17.39,62.13,0.5,11.5,8.89,0.08333333333333333,1.2699924100432476
2020-01-02,LOC005,potato,16.66,280,23.45,34.13,3.19,6.73,11.39,0.08333333333333333,0.8878787616222612
2020-01-02,LOC004,cotton,77.61,314,13.16,49.75,3.07,7.62,8.9,0.08333333333333333,0.8659996115503542
2020-01-02,LOC002,wheat,33.06,136,10.88,48.58,12.8,10.65,10.58,0.08333333333333333,1.2214060904782733
2020-01-02,LOC002,soybean,48.73,229,20.23,30.41,10.31,18.48,9.6,0.08333333333333333,0.8878226094195558
2020-01-03,LOC004,wheat,26.1,470,20.96,68.42,6.31,8.68,10.34,0.08333333333333333,1.0381898436658499
2020-01-03,LOC001,rice,29.36,696,16.51,46.69,9.52,12.74,10.88,0.08333333333333333,0.8672887915913019
2020-01-03,LOC003,potato,17.23,715,12.18,52.18,10.07,19.48,8.94,0.08333333333333333,1.249191641318369
2020-01-03,LOC002,soybean,64.94,854,15.58,57.17,6.6,5.29,7.78,0.08333333333333333,1.1359068343279164
2020-01-03,LOC004,onion,35.89,465,12.21,44.1,12.81,23.34,7.47,0.08333333333333333,1.249286314591291
2020-01-04,LOC003,rice,33.19,413,16.2,45.06,14.96,5.27,10.22,0.08333333333333333,0.9493446899854094
2020-01-04,LOC005,corn,21.47,442,11.76,56.56,2.88,12.02,10.71,0.08333333333333333,0.923781949121227
2020-01-05,LOC002,potato,16.49,717,12.33,41.71,12.54,15.87,11.02,0.08333333333333333,1.0260159990305524
2020-01-05,LOC005,soybean,50.63,817,24.18,41.82,10.25,22.43,8.67,0.08333333333333333,0.8620440853587612
2020-01-05,LOC002,corn,22.78,323,11.77,45.45,10.16,10.21,8.73,0.08333333333333333,1.1985189050418947
2020-01-05,LOC003,onion,35.06,147,10.67,41.11,11.34,17.42,11.61,0.08333333333333333,1.171937275686949
2020-01-05,LOC001,corn,24.96,933,20.21,56.98,5.97,10.1,11.5,0.08333333333333333,1.194292583727242
2020-01-06,LOC001,cotton,90.03,290,19.71,52.41,0.88,9.98,10.38,0.08333333333333333,1.0152164245591737
2020-01-06,LOC003,tomato,54.42,654,21.35,55.24,7.39,13.12,10.0,0.08333333333333333,1.1634572475624139
2020-01-06,LOC003,potato,15.92,193,16.11,48.84,0.88,8.06,8.23,0.08333333333333333,0.9471884517908178
2020-01-07,LOC004,soybean,63.26,111,18.63,53.89,13.66,9.1,7.11,0.08333333333333333,1.0710041048996142
2020-01-08,LOC001,onion,32.73,526,22.46,68.81,1.35,19.3,10.26,0.08333333333333333,0.8895186566450144
2020-01-08,LOC004,soybean,77.13,798,23.11,40.61,2.89,17.57,8.99,0.08333333333333333,1.1059886776312684
2020-01-08,LOC003,wheat,24.99,646,24.02,55.44,2.79,11.76,9.2,0.08333333333333333,0.884222759519956
2020-01-10,LOC005,rice,39.65,962,13.62,31.26,9.73,19.66,11.52,0.08333333333333333,1.1551342948280912
2020-01-10,LOC002,tomato,76.37,297,23.6,31.63,0.69,17.54,7.77,0.08333333333333333,1.278024999464339
2020-01-11,LOC001,cotton,71.25,572,12.31,35.52,11.47,19.56,7.86,0.08333333333333333,0.8634635897830251
2020-01-11,LOC005,cotton,84.24,284,20.62,35.93,3.76,18.09,10.83,0.08333333333333333,0.9284462350361815
2020-01-11,LOC005,onion,24.67,477,23.67,33.48,9.77,12.72,7.1,0.08333333333333333,0.8176297817155114
2020-01-11,LOC004,cotton,72.87,625,10.72,69.52,1.44,9.69,9.25,0.08333333333333333,0.8115725057330442
2020-01-12,LOC005,cotton,68.26,621,19.58,64.69,8.34,5.75,8.41,0.08333333333333333,0.8302841553787501
2020-01-12,LOC004,corn,18.96,973,22.18,67.09,10.69,23.29,10.69,0.08333333333333333,1.0363889016983696
2020-01-12,LOC002,corn,27.42,1013,17.35,59.43,0.24,7.89,10.81,0.08333333333333333,1.1250019702865877
2020-01-12,LOC004,rice,40.45,733,22.37,65.53,0.78,6.32,9.47,0.08333333333333333,0.9830035799486951
2020-01-12,LOC004,cotton,91.35,624,10.33,65.07,6.59,6.74,11.88,0.08333333333333333,1.1324041094713961
2020-01-13,LOC005,rice,43.66,511,20.52,51.54,4.36,18.43,9.27,0.08333333333333333,1.1124040650087368
2020-01-13,LOC004,rice,29.14,594,10.17,60.35,12.69,5.02,8.78,0.08333333333333333,0.8119256041216076
2020-01-13,LOC004,onion,33.61,913,13.12,53.48,2.25,17.2,11.97,0.08333333333333333,0.9445708584906618
2020-01-13,LOC005,rice,40.45,810,22.82,65.39,1.51,14.08,11.45,0.08333333333333333,1.0281996445436128
2020-01-14,LOC002,onion,40.98,1012,22.49,59.46,0.02,12.21,11.51,0.08333333333333333,1.060984438468318
2020-01-14,LOC003,corn,17.76,820,16.79,49.76,10.08,14.14,11.52,0.08333333333333333,0.9062153533530272
2020-01-14,LOC003,rice,36.92,673,20.56,41.32,8.99,7.67,8.69,0.08333333333333333,1.1036707978833902
2020-01-15,LOC002,cotton,102.62,789,12.95,32.4,14.37,10.87,8.57,0.08333333333333333,1.1993675411552347
2020-01-16,LOC005,soybean,65.41,777,12.73,32.94,12.3,23.48,10.78,0.08333333333333333,1.1131529448479185
2020-01-16,LOC001,cotton,113.01,603,24.55,51.19,13.43,14.82,9.54,0.08333333333333333,1.2958051730257236
2020-01-17,LOC003,wheat,27.99,343,10.33,48.45,6.94,16.34,11.53,0.08333333333333333,1.0105351530166025
2020-01-17,LOC002,onion,30.0,404,21.64,49.75,9.24,15.86,10.79,0.08333333333333333,1.008775999048628
2020-01-17,LOC002,soybean,82.19,997,23.12,57.83,1.25,11.31,7.39,0.08333333333333333,1.1839535763864495
2020-01-18,LOC003,soybean,52.51,580,13.15,52.33,14.64,20.88,11.95,0.08333333333333333,0.9475121330119132
2020-01-18,LOC004,cotton,73.9,972,20.27,46.74,10.62,23.99,11.61,0.08333333333333333,0.9939864628068322
2020-01-19,LOC003,cotton,89.23,142,18.88,66.5,3.06,6.77,8.05,0.08333333333333333,0.9572980327681795
2020-01-19,LOC003,potato,19.05,868,20.09,51.25,1.4,17.14,8.46,0.08333333333333333,1.098668651363917
2020-01-20,LOC001,rice,31.7,511,11.43,35.37,8.42,7.4,8.46,0.08333333333333333,0.8966307844957506
2020-01-20,LOC001,potato,13.76,981,13.63,64.66,12.93,5.77,7.62,0.08333333333333333,0.8790565529168606
2020-01-20,LOC004,soybean,46.6,374,19.21,30.91,14.78,6.65,11.45,0.08333333333333333,0.84391508897361
2020-01-21,LOC005,cotton,83.32,951,12.1,46.59,3.98,17.61,8.83,0.08333333333333333,0.9125996018693814
2020-01-21,LOC005,rice,42.1,764,12.14,31.57,1.66,17.97,11.69,0.08333333333333333,1.071991258972069
2020-01-21,LOC002,onion,32.27,497,16.56,32.76,10.35,14.97,8.5,0.08333333333333333,1.0426043652513353
2020-01-22,LOC004,corn,20.66,619,12.31,33.56,14.64,6.33,11.54,0.08333333333333333,1.0982596894664758
2020-01-22,LOC003,onion,33.84,175,16.65,30.06,13.71,5.31,11.52,0.08333333333333333,1.0683368807808038
2020-01-23,LOC001,wheat,31.45,896,14.66,54.43,4.18,18.93,9.16,0.08333333333333333,0.9915800525959211
2020-01-23,LOC002,potato,19.54,806,10.89,62.38,0.69,8.11,7.47,0.08333333333333333,1.168325784204405
2020-01-23,LOC005,corn,15.13,851,17.26,39.6,8.59,12.94,7.48,0.08333333333333333,0.8104009924426219
2020-01-24,LOC003,soybean,69.61,479,19.25,48.3,2.97,5.33,8.09,0.08333333333333333,1.020293612414793
2020-01-24,LOC003,soybean,69.34,962,23.89,39.91,1.7,24.37,10.89,0.08333333333333333,1.0661458384859364
2020-01-24,LOC001,cotton,83.54,558,11.8,50.57,9.52,6.36,9.93,0.08333333333333333,1.1370455419441783
2020-01-24,LOC001,tomato,54.8,318,17.07,61.95,3.16,18.28,12.0,0.08333333333333333,1.0746020974009036
2020-01-24,LOC001,wheat,33.92,179,23.0,39.49,1.26,22.07,11.07,0.08333333333333333,1.1144068020271516
